source,target,model,seed,operating_point,average_precision,roc_auc,f1,precision,recall,fpr,balanced_accuracy
iscx,iscx,mlp,37,validation_f1,0.0003476806885734929,-0.0003901795079924719,0.00970845619645988,0.044950063138560425,-0.030323005932761937,-0.057840616966580966,0.013758805516909556
iscx,iscx,mlp,37,validation_fpr_limit,0.0003476806885734929,-0.0003901795079924719,0.011693777935656735,0.0086499092420389,0.013183915622940079,-0.006426735218508997,0.009805325420724431
iscx,iscx,mlp,51,default,0.0005919565645797764,8.472953485494372e-07,0.009885421036744835,0.034653328064446765,-0.011865524060646004,-0.03406169665809768,0.011098086298725773
iscx,iscx,mlp,51,validation_f1,0.0005919565645797764,8.472953485494372e-07,-0.005048911328494832,-0.004842615012106477,-0.005273566249175965,0.005141388174807193,-0.005207477211991662
iscx,iscx,mlp,51,validation_fpr_limit,0.0005919565645797764,8.472953485494372e-07,0.008004531133845472,0.0019036137908976514,0.011206328279499078,-0.0012853470437018,0.006245837661600473
iscx,iscx,mlp,71,default,0.001837375794508267,0.0014035447448199623,0.012482599815265338,-0.014550749440727984,0.03427818061964405,0.014781491002570694,0.009748344808536702
iscx,iscx,mlp,71,validation_f1,0.001837375794508267,0.0014035447448199623,-0.005470943071126277,0.0022356985781001315,-0.014502307185234042,-0.005141388174807193,-0.004680459505213452
iscx,iscx,mlp,71,validation_fpr_limit,0.001837375794508267,0.0014035447448199623,0.019061519483033584,0.0038320485109357705,0.027027027027027084,-0.0025706940874035984,0.014798860557215354
iscx,iscx,random_forest,11,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,11,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,11,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,23,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,23,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,23,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,37,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,37,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,37,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,51,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,51,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,51,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,71,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,71,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,71,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,11,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,11,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,11,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,23,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,23,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,23,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,37,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,37,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,37,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,51,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,51,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,51,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,71,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,71,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,71,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,ddqn,11,default,-0.006887163456097578,-0.010837834766799531,0.0029270304774855482,0.0014141789965178009,0.006852667645619204,0.0019642857142857517,0.002444190965666726
iscx,mendeley,ddqn,11,validation_f1,-0.006887163456097578,-0.010837834766799531,-0.0008348634563341006,-0.00045433690219520706,-0.0017947462881383602,-0.00017857142857147235,-0.0008080874297834439
iscx,mendeley,ddqn,11,validation_fpr_limit,-0.006887163456097578,-0.010837834766799531,0.0032832666932306465,0.001620706887793033,0.007178985152553441,0.0024999999999999467,0.002339492576276747
iscx,mendeley,ddqn,23,default,0.0307917008836473,0.04295027445633173,-0.000919856500422922,-0.0004061286705471234,-0.0022842225485397716,-0.0008928571428571397,-0.000695682702841316
iscx,mendeley,ddqn,23,validation_f1,0.0307917008836473,0.04295027445633173,0.004896184369565848,0.002325899925135655,0.011584271496165699,0.0035714285714285587,0.00400642146236857
iscx,mendeley,ddqn,23,validation_fpr_limit,0.0307917008836473,0.04295027445633173,0.0029666899663790547,0.0015608172488727479,0.006200032631750729,0.001607142857142807,0.002296444887303961
iscx,mendeley,ddqn,37,default,-0.003911493205577488,-0.00936448208749971,-0.0010139245981695133,-0.00029536713457523067,-0.002936857562408246,-0.002142857142857113,-0.0003970002097755665
iscx,mendeley,ddqn,37,validation_f1,-0.003911493205577488,-0.00936448208749971,-0.012699705178815135,-0.005984609578443101,-0.03034752814488495,-0.009464285714285703,-0.010441621215299624
iscx,mendeley,ddqn,37,validation_fpr_limit,-0.003911493205577488,-0.00936448208749971,-0.007270738380402375,-0.004485547708588555,-0.01337901778430406,0.0008928571428571397,-0.0071359374635805994
iscx,mendeley,ddqn,51,default,0.08394409431491945,0.12053121285224816,-0.0008274064140351145,-0.00023356784594813496,-0.0024473813020068347,-0.0017857142857142794,-0.00033083350814627766
iscx,mendeley,ddqn,51,validation_f1,0.08394409431491945,0.12053121285224816,-0.00387631389953913,-0.0019244019049468042,-0.008973731440691801,-0.002142857142857113,-0.003415437148917344
iscx,mendeley,ddqn,51,validation_fpr_limit,0.08394409431491945,0.12053121285224816,0.008008643474006205,0.004541516884002006,0.015826399086310894,0.0019642857142857517,0.006931056686012571
iscx,mendeley,ddqn,71,default,-0.024503641453349323,-0.0305658403841223,0.004567015899130222,0.002265866992679,0.010442160221895924,0.002678571428571419,0.0038817943966622526
iscx,mendeley,ddqn,71,validation_f1,-0.024503641453349323,-0.0305658403841223,0.009610235249697507,0.004742631250994389,0.022515907978463034,0.005357142857142838,0.008579382560660098
iscx,mendeley,ddqn,71,validation_fpr_limit,-0.024503641453349323,-0.0305658403841223,-0.00028761950121847235,-0.0003695397634697617,0.0,0.0014285714285713347,-0.0007142857142856673
iscx,mendeley,dqn,11,default,0.019707586859720516,0.021016930634221387,-0.001633491151267985,-0.000766212574480174,-0.003915810083210958,-0.0012499999999999734,-0.0013329050416054922
iscx,mendeley,dqn,11,validation_f1,0.019707586859720516,0.021016930634221387,0.005111719097053435,0.002383301391034709,0.012400065263501348,0.003928571428571392,0.0042357469174649776
iscx,mendeley,dqn,11,validation_fpr_limit,0.019707586859720516,0.021016930634221387,0.005779471761474753,0.003262517143542476,0.011421112742698636,0.001607142857142918,0.004906984942777859
iscx,mendeley,dqn,23,default,-0.07751908751023495,-0.12201251952077949,-0.004459396002179483,-0.0022648097014207336,-0.010115842714961687,-0.002142857142857113,-0.003986492786052287
iscx,mendeley,dqn,23,validation_f1,-0.07751908751023495,-0.12201251952077949,-0.00629182621365898,-0.0032338679854190255,-0.014194811551639708,-0.002678571428571419,-0.005758120061534144
