source,target,model,seed,operating_point,average_precision,roc_auc,f1,precision,recall,fpr,balanced_accuracy,predicted_malicious_fraction
iscx,iscx,dqn,71,default,0.0004980089659565312,-0.0004033125858945441,-0.0015027958317324064,0.0330131688422326,-0.03164139749505601,-0.03406169665809769,0.0012101495815208807,-0.03286690530426295
iscx,iscx,dqn,71,validation_f1,0.0004980089659565312,-0.0004033125858945441,0.014230547747454025,0.04676819977748847,-0.020435069215557045,-0.055912596401028275,0.01773876359273563,-0.03839895867230714
iscx,iscx,dqn,71,validation_fpr_limit,0.0004980089659565312,-0.0004033125858945441,-0.003770278801800364,0.003655249978779307,-0.007251153592616966,-0.0025706940874035992,-0.002340229752606615,-0.004881223560039061
iscx,iscx,logistic,11,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,11,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,11,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,23,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,23,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,23,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,37,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,37,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,37,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,51,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,51,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,51,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,71,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,71,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,71,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,11,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,11,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,11,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,23,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,23,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,23,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,37,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,37,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,37,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,51,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,51,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,51,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,71,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,71,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,71,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,11,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,11,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,11,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,23,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,23,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,23,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,37,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,37,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,37,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,51,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,51,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,51,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,71,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,71,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,random_forest,71,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,11,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,11,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,11,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,23,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,23,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,23,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,37,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,37,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,37,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,51,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,51,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,51,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,71,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,71,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,71,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,ddqn,11,default,-0.012595366444554057,-0.016865632939421477,0.0021247830358459563,0.0010506443034839497,0.004894762604013669,0.0012499999999999734,0.0018223813020067925,0.003154574132492094
iscx,mendeley,ddqn,11,validation_f1,-0.012595366444554057,-0.016865632939421477,0.012215549370487744,0.005957338653482358,0.028715940610213764,0.007499999999999951,0.010607970305106906,0.01858640975360215
iscx,mendeley,ddqn,11,validation_fpr_limit,-0.012595366444554057,-0.016865632939421477,-0.007420837570437322,-0.004609312034903723,-0.013542176537771233,0.001071428571428501,-0.007306802554599867,-0.006564924545997108
iscx,mendeley,ddqn,23,default,0.028673069112418514,0.025798181362608613,-0.004001257739774333,-0.0019073569482288555,-0.009463207701093213,-0.0028571428571428914,-0.0033030324219751606,-0.006309148264984299
iscx,mendeley,ddqn,23,validation_f1,0.028673069112418514,0.025798181362608613,0.005450281150662595,0.002643068901968304,0.012726382770435585,0.0035714285714285587,0.004577477099503513,0.008355358513087219
iscx,mendeley,ddqn,23,validation_fpr_limit,0.028673069112418514,0.025798181362608613,-0.0011804820669945038,-0.000685679940424011,-0.0022842225485397716,-0.00017857142857147235,-0.0010528255599841496,-0.0012788814050643804
