tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,specificity,balanced_accuracy,average_precision,roc_auc,predicted_malicious_fraction,n,source,target,model,seed,operating_point,threshold,fit_seconds,inference_seconds
734,822,1250,267,0.32574031890660593,0.24517906336088155,0.17600527356624918,0.204911742133538,0.5282776349614395,0.4717223650385604,0.3238638193024048,0.3904597669648632,0.19458730785459732,0.354376830458835,3073,mendeley,iscx,dqn,11,validation_fpr_limit,1.6022424697875977,1.7491387999616563,0.0031095000449568033
4420,1180,784,5345,0.8325517946969051,0.8191570881226053,0.8720835372817751,0.8447921605816343,0.21071428571428572,0.7892857142857143,0.8306846257837447,0.8709037025220492,0.895366743001655,0.5563134112030012,11729,mendeley,mendeley,dqn,11,default,5e-324,1.7491387999616563,0.015151599887758493
4020,1580,337,5792,0.8365589564327734,0.7856755290287575,0.9450155000815794,0.8580105177394267,0.28214285714285714,0.7178571428571429,0.8314363214693612,0.8709037025220492,0.895366743001655,0.6285275812089692,11729,mendeley,mendeley,dqn,11,validation_f1,-1.0275791883468628,1.7491387999616563,0.015151599887758493
5510,90,5372,757,0.534316651035894,0.8937426210153483,0.1235111763746125,0.21702981651376146,0.01607142857142857,0.9839285714285714,0.5537198739015919,0.8709037025220492,0.895366743001655,0.07221417000596811,11729,mendeley,mendeley,dqn,11,validation_fpr_limit,1.6022424697875977,1.7491387999616563,0.015151599887758493
0,1556,2,1515,0.493003579563944,0.493324649951156,0.998681608437706,0.6604184829991282,1.0,0.0,0.499340804218853,0.3910408955685455,0.1956756587297687,0.9993491701919948,3073,mendeley,iscx,ddqn,11,default,5e-324,1.7299259998835623,0.0029811998829245567
0,1556,0,1517,0.4936544093719492,0.4936544093719492,1.0,0.6610021786492375,1.0,0.0,0.5,0.3910408955685455,0.1956756587297687,1.0,3073,mendeley,iscx,ddqn,11,validation_f1,-1.0222887992858887,1.7299259998835623,0.0029811998829245567
734,822,1250,267,0.32574031890660593,0.24517906336088155,0.17600527356624918,0.204911742133538,0.5282776349614395,0.4717223650385604,0.3238638193024048,0.3910408955685455,0.1956756587297687,0.354376830458835,3073,mendeley,iscx,ddqn,11,validation_fpr_limit,1.601635217666626,1.7299259998835623,0.0029811998829245567
4420,1180,784,5345,0.8325517946969051,0.8191570881226053,0.8720835372817751,0.8447921605816343,0.21071428571428572,0.7892857142857143,0.8306846257837447,0.8706543784954128,0.8946122648765821,0.5563134112030012,11729,mendeley,mendeley,ddqn,11,default,5e-324,1.7299259998835623,0.014760299818590283
4020,1580,337,5792,0.8365589564327734,0.7856755290287575,0.9450155000815794,0.8580105177394267,0.28214285714285714,0.7178571428571429,0.8314363214693612,0.8706543784954128,0.8946122648765821,0.6285275812089692,11729,mendeley,mendeley,ddqn,11,validation_f1,-1.0222887992858887,1.7299259998835623,0.014760299818590283
5510,90,5371,758,0.5344019097962316,0.8938679245283019,0.12367433512807963,0.2172853662032392,0.01607142857142857,0.9839285714285714,0.5538014532783255,0.8706543784954128,0.8946122648765821,0.07229942876630574,11729,mendeley,mendeley,ddqn,11,validation_fpr_limit,1.601635217666626,1.7299259998835623,0.014760299818590283
