source,target,model,seed,operating_point,average_precision,roc_auc,f1,recall,precision,fpr,balanced_accuracy,predicted_malicious_fraction
iscx,iscx,dqn,71,default,-0.020657249282919232,-0.01897539115389746,-0.03294285741268177,0.029004614370468085,-0.09800453647045093,0.10925449871465297,-0.04012494217209239,0.0696387894565571
iscx,iscx,dqn,71,validation_f1,-0.020657249282919232,-0.01897539115389746,-0.0417417691854689,-0.06789716545814106,-0.013702585885684404,0.007069408740359898,-0.03748328709925042,-0.02993817116823949
iscx,iscx,dqn,71,validation_fpr_limit,-0.020657249282919232,-0.01897539115389746,-0.051756088846946935,-0.0646011865524061,-0.004841040462427837,0.0019280205655526992,-0.03326460355897942,-0.030914415880247292
iscx,iscx,logistic,11,default,-0.02340658991173683,-0.0011972283274559459,0.0361291977583762,0.052735662491760094,0.01700562818126783,-0.010282776349614386,0.031509219420687296,0.020826553856166607
iscx,iscx,logistic,11,validation_f1,-0.02340658991173683,-0.0011972283274559459,0.00287887172157697,-0.03823335530652605,0.043844541253302394,-0.055912596401028275,0.008839620547251181,-0.04718516108037751
iscx,iscx,logistic,11,validation_fpr_limit,-0.02340658991173683,-0.0011972283274559459,-0.4784878446165407,-0.39353988134475937,-0.030611025772316114,-0.0025706940874035984,-0.19548459362867787,-0.1955743573055646
iscx,iscx,logistic,23,default,-0.02340658991173683,-0.0011972283274559459,0.0361291977583762,0.052735662491760094,0.01700562818126783,-0.010282776349614386,0.031509219420687296,0.020826553856166607
iscx,iscx,logistic,23,validation_f1,-0.02340658991173683,-0.0011972283274559459,0.00287887172157697,-0.03823335530652605,0.043844541253302394,-0.055912596401028275,0.008839620547251181,-0.04718516108037751
iscx,iscx,logistic,23,validation_fpr_limit,-0.02340658991173683,-0.0011972283274559459,-0.4784878446165407,-0.39353988134475937,-0.030611025772316114,-0.0025706940874035984,-0.19548459362867787,-0.1955743573055646
iscx,iscx,logistic,37,default,-0.02340658991173683,-0.0011972283274559459,0.0361291977583762,0.052735662491760094,0.01700562818126783,-0.010282776349614386,0.031509219420687296,0.020826553856166607
iscx,iscx,logistic,37,validation_f1,-0.02340658991173683,-0.0011972283274559459,0.00287887172157697,-0.03823335530652605,0.043844541253302394,-0.055912596401028275,0.008839620547251181,-0.04718516108037751
iscx,iscx,logistic,37,validation_fpr_limit,-0.02340658991173683,-0.0011972283274559459,-0.4784878446165407,-0.39353988134475937,-0.030611025772316114,-0.0025706940874035984,-0.19548459362867787,-0.1955743573055646
iscx,iscx,logistic,51,default,-0.02340658991173683,-0.0011972283274559459,0.0361291977583762,0.052735662491760094,0.01700562818126783,-0.010282776349614386,0.031509219420687296,0.020826553856166607
iscx,iscx,logistic,51,validation_f1,-0.02340658991173683,-0.0011972283274559459,0.00287887172157697,-0.03823335530652605,0.043844541253302394,-0.055912596401028275,0.008839620547251181,-0.04718516108037751
iscx,iscx,logistic,51,validation_fpr_limit,-0.02340658991173683,-0.0011972283274559459,-0.4784878446165407,-0.39353988134475937,-0.030611025772316114,-0.0025706940874035984,-0.19548459362867787,-0.1955743573055646
iscx,iscx,logistic,71,default,-0.02340658991173683,-0.0011972283274559459,0.0361291977583762,0.052735662491760094,0.01700562818126783,-0.010282776349614386,0.031509219420687296,0.020826553856166607
iscx,iscx,logistic,71,validation_f1,-0.02340658991173683,-0.0011972283274559459,0.00287887172157697,-0.03823335530652605,0.043844541253302394,-0.055912596401028275,0.008839620547251181,-0.04718516108037751
iscx,iscx,logistic,71,validation_fpr_limit,-0.02340658991173683,-0.0011972283274559459,-0.4784878446165407,-0.39353988134475937,-0.030611025772316114,-0.0025706940874035984,-0.19548459362867787,-0.1955743573055646
iscx,iscx,mlp,11,default,-0.0218125774269754,-0.019886021829717326,-0.03782594933788086,0.030323005932762048,-0.10623233162462842,0.12210796915167096,-0.04589248160945447,0.07679791734461439
iscx,iscx,mlp,11,validation_f1,-0.0218125774269754,-0.019886021829717326,-0.03085333113151134,-0.04021094264996705,-0.02279411220555483,0.02120822622107968,-0.030709584435523407,-0.009111617312072884
iscx,iscx,mlp,11,validation_fpr_limit,-0.0218125774269754,-0.019886021829717326,-0.0666170065282391,-0.08701384311140403,-0.006182722677617436,0.0025706940874036,-0.04479226859940377,-0.041653107712333215
iscx,iscx,mlp,23,default,-0.021588075369652793,-0.019877548876232054,-0.04896423295001762,0.004614370468029039,-0.10102352246859458,0.11503856041131107,-0.055212094971640924,0.06052717214448422
iscx,iscx,mlp,23,validation_f1,-0.021588075369652793,-0.019877548876232054,-0.036432113163553104,-0.027027027027027084,-0.044568776774771335,0.050128534704370176,-0.03857778086569863,0.012040351448096343
iscx,iscx,mlp,23,validation_fpr_limit,-0.021588075369652793,-0.019877548876232054,-0.06692897392596209,-0.08767303889255107,-0.0061692878824737285,0.0025706940874036,-0.04512186648997729,-0.041978522616335834
iscx,iscx,mlp,37,default,-0.020683354451494274,-0.018877104893469387,-0.041133794729020345,0.06789716545814106,-0.14009616973722516,0.17866323907455012,-0.055383036808204444,0.1239830784249919
iscx,iscx,mlp,37,validation_f1,-0.020683354451494274,-0.018877104893469387,-0.029623510541616493,-0.029663810151615122,-0.029506942032530015,0.03149100257069409,-0.03057740636115458,0.0013016596160103644
iscx,iscx,mlp,37,validation_fpr_limit,-0.020683354451494274,-0.018877104893469387,-0.06468386632315881,-0.0843770599868161,-0.006125567735546178,0.0025706940874036,-0.04347387703710981,-0.040351448096322795
iscx,iscx,mlp,51,default,-0.0211172771714202,-0.01952337942055149,-0.053605479666601785,-0.011206328279498967,-0.0930770163735598,0.10668380462724936,-0.05894506645337416,0.04848682069638788
iscx,iscx,mlp,51,validation_f1,-0.0211172771714202,-0.01952337942055149,-0.053649379123009266,-0.019775873434410007,-0.08491655969191281,0.09640102827763497,-0.058088450856022544,0.03904978848031243
iscx,iscx,mlp,51,validation_fpr_limit,-0.0211172771714202,-0.01952337942055149,-0.05740102248608403,-0.0744891232696111,-0.004991426938464438,0.0019280205655526992,-0.03820857191758176,-0.03579563944028635
iscx,iscx,mlp,71,default,-0.021308336668027117,-0.01927978200785252,-0.05137263545248316,-0.003295978905734964,-0.09672590226147337,0.11118251928020564,-0.05723924909297029,0.0546697038724373
iscx,iscx,mlp,71,validation_f1,-0.021308336668027117,-0.01927978200785252,-0.04815868608529639,-0.011865524060646004,-0.08175904308468096,0.09383033419023137,-0.052847929125438675,0.041653107712333215
iscx,iscx,mlp,71,validation_fpr_limit,-0.021308336668027117,-0.01927978200785252,-0.05952757278092813,-0.07712590639419903,-0.005998011111831736,0.0025706940874036,-0.039848300240801215,-0.03677188415229421
iscx,iscx,random_forest,11,default,-0.0206303738176834,-0.016065990750923853,-0.02904439507317691,-0.046143704680290054,-0.010868541436198753,0.0064267352185089915,-0.026285219949399585,-0.019524894240156243
iscx,iscx,random_forest,11,validation_f1,-0.0206303738176834,-0.016065990750923853,-0.03367317919840085,0.0646011865524061,-0.13444963374727692,0.15295629820051415,-0.04417755582405403,0.10933940774487466
iscx,iscx,random_forest,11,validation_fpr_limit,-0.0206303738176834,-0.016065990750923853,-0.08020973236206685,-0.13249835201054716,0.013128631896118903,-0.012210796915167094,-0.06014377754769007,-0.0715912788805727
iscx,iscx,random_forest,23,default,-0.019978472609144537,-0.014737643468284989,-0.027783912065359795,-0.039551746868820015,-0.015112657995969947,0.011568123393316185,-0.025559935131068134,-0.013667425968109381
iscx,iscx,random_forest,23,validation_f1,-0.019978472609144537,-0.014737643468284989,-0.029372937293729362,-0.020435069215557045,-0.03853900049871217,0.03920308483290488,-0.029819077024230922,0.009762447120078122
iscx,iscx,random_forest,23,validation_fpr_limit,-0.019978472609144537,-0.014737643468284989,-0.08261256253474147,-0.13777191825972313,0.014665443867834083,-0.013496143958868893,-0.06213788715042712,-0.07484542792059878
