tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,specificity,balanced_accuracy,average_precision,roc_auc,predicted_malicious_fraction,n,source,target,model,seed,operating_point,threshold,fit_seconds,inference_seconds
3650,1950,3930,2199,0.4986784892147668,0.5300072306579898,0.3587860988742046,0.42790426152948047,0.3482142857142857,0.6517857142857143,0.5052859065799594,0.5900878945753407,0.5225149902104749,0.35373859664080487,11729,iscx,mendeley,mlp,11,validation_fpr_limit,2.4403438568115234,8.483114400180057,0.16079650004394352
1105,451,82,1435,0.8265538561666125,0.7608695652173914,0.9459459459459459,0.8433734939759037,0.2898457583547558,0.7101542416452442,0.828050093795595,0.9443973353817056,0.9411197516407874,0.6137325089489098,3073,iscx,iscx,dqn,11,default,5e-324,5.405058899894357,0.00313179986551404
1409,147,244,1273,0.8727627725349821,0.8964788732394366,0.8391562294001318,0.8668709567585972,0.09447300771208227,0.9055269922879178,0.8723416108440247,0.9443973353817056,0.9411197516407874,0.46208916368369674,3073,iscx,iscx,dqn,11,validation_f1,0.7271947860717773,5.405058899894357,0.00313179986551404
1539,17,648,869,0.7835990888382688,0.9808126410835214,0.5728411338167436,0.7232625884311278,0.010925449871465296,0.9890745501285347,0.7809578419726392,0.9443973353817056,0.9411197516407874,0.28831760494630654,3073,iscx,iscx,dqn,11,validation_fpr_limit,1.6321940422058105,5.405058899894357,0.00313179986551404
1680,3920,1483,4646,0.5393469178958138,0.5423768386644875,0.7580355686082558,0.6323239197005784,0.7,0.3,0.5290177843041279,0.5905390487606931,0.5276881861408294,0.730326541052093,11729,iscx,mendeley,dqn,11,default,5e-324,5.405058899894357,0.01112410007044673
1989,3611,2324,3805,0.4939892573961975,0.5130798274002157,0.6208190569424049,0.5618309339239572,0.6448214285714285,0.35517857142857145,0.4879988141854882,0.5905390487606931,0.5276881861408294,0.6322789666638247,11729,iscx,mendeley,dqn,11,validation_f1,0.7271947860717773,5.405058899894357,0.01112410007044673
4337,1263,4049,2080,0.5471054650865377,0.6221956326652707,0.3393702072116169,0.4391891891891892,0.22553571428571428,0.7744642857142857,0.5569172464629513,0.5905390487606931,0.5276881861408294,0.28502003580867935,11729,iscx,mendeley,dqn,11,validation_fpr_limit,1.6321940422058105,5.405058899894357,0.01112410007044673
1116,440,86,1431,0.8288317604946307,0.7648316408337787,0.9433091628213579,0.8447461629279811,0.2827763496143959,0.7172236503856041,0.830266406603481,0.944345183015561,0.9410115096600142,0.6088512853888708,3073,iscx,iscx,ddqn,11,default,5e-324,5.215822300175205,0.003087199991568923
1409,147,246,1271,0.8721119427269769,0.8963328631875882,0.8378378378378378,0.8660988074957411,0.09447300771208227,0.9055269922879178,0.8716824150628778,0.944345183015561,0.9410115096600142,0.4614383338756915,3073,iscx,iscx,ddqn,11,validation_f1,0.6394596099853516,5.215822300175205,0.003087199991568923
1539,17,637,880,0.7871786527822975,0.9810479375696767,0.5800922874093606,0.7290803645401823,0.010925449871465296,0.9890745501285347,0.7845834187689477,0.944345183015561,0.9410115096600142,0.2918971688903352,3073,iscx,iscx,ddqn,11,validation_fpr_limit,1.5079927444458008,5.215822300175205,0.003087199991568923
1711,3889,1562,4567,0.5352544973996078,0.5400898770104068,0.7451460270843531,0.6262598560164553,0.6944642857142858,0.3055357142857143,0.5253408706850337,0.5897561665784473,0.5272333519800481,0.7209480774149544,11729,iscx,mendeley,ddqn,11,default,5e-324,5.215822300175205,0.0067523999605327845
1989,3611,2326,3803,0.4938187398755222,0.5129484758564877,0.6204927394354707,0.5616185483275493,0.6448214285714285,0.35517857142857145,0.48783565543202106,0.5897561665784473,0.5272333519800481,0.6321084491431495,11729,iscx,mendeley,ddqn,11,validation_f1,0.6394596099853516,5.215822300175205,0.0067523999605327845
4337,1263,4036,2093,0.5482138289709267,0.6236591179976162,0.3414912710066895,0.44132841328413286,0.22553571428571428,0.7744642857142857,0.5579777783604876,0.5897561665784473,0.5272333519800481,0.28612839969306847,11729,iscx,mendeley,ddqn,11,validation_fpr_limit,1.5079927444458008,5.215822300175205,0.0067523999605327845
0,1556,0,1517,0.4936544093719492,0.4936544093719492,1.0,0.6610021786492375,1.0,0.0,0.5,0.4936544093719492,0.5,1.0,3073,iscx,iscx,always_malicious,23,default,0.5000000000000001,7.309997454285622e-05,3.2400013878941536e-05
0,1556,0,1517,0.4936544093719492,0.4936544093719492,1.0,0.6610021786492375,1.0,0.0,0.5,0.4936544093719492,0.5,1.0,3073,iscx,iscx,always_malicious,23,validation_f1,1.0,7.309997454285622e-05,3.2400013878941536e-05
