source,target,model,seed,operating_point,average_precision,roc_auc,f1,precision,recall,fpr,balanced_accuracy,predicted_malicious_fraction
iscx,iscx,dqn,71,default,0.002865171142469203,0.002133489687568324,0.011474634520594051,-0.009635906366426306,0.029663810151615122,0.011568123393316199,0.009047843379149434,0.020501138952164044
iscx,iscx,dqn,71,validation_f1,0.002865171142469203,0.002133489687568324,0.0009542054691074053,0.004597883597883601,-0.002636783124587927,-0.005141388174807193,0.0012523025251096609,-0.0039049788480312597
iscx,iscx,dqn,71,validation_fpr_limit,0.002865171142469203,0.002133489687568324,0.02013066385938911,-0.002410536779324124,0.028345418589320936,0.0019280205655526992,0.01320869901188415,0.014969085584119746
iscx,iscx,logistic,11,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,11,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,11,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,23,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,23,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,23,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,37,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,37,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,37,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,51,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,51,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,51,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,71,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,71,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,logistic,71,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,11,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,11,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,11,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,23,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,23,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,23,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,37,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,37,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,37,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,51,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,51,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,51,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,71,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,mlp,71,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
