source,target,model,operating_point,average_precision_mean,average_precision_std,average_precision_count,roc_auc_mean,roc_auc_std,roc_auc_count,f1_mean,f1_std,f1_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,fpr_mean,fpr_std,fpr_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_count,predicted_malicious_fraction_mean,predicted_malicious_fraction_std,predicted_malicious_fraction_count
mendeley,iscx,logistic,default,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
mendeley,iscx,logistic,validation_f1,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
mendeley,iscx,logistic,validation_fpr_limit,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
mendeley,iscx,mlp,default,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
mendeley,iscx,mlp,validation_f1,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
mendeley,iscx,mlp,validation_fpr_limit,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
mendeley,iscx,random_forest,default,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
mendeley,iscx,random_forest,validation_f1,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
mendeley,iscx,random_forest,validation_fpr_limit,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
mendeley,mendeley,always_malicious,default,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
mendeley,mendeley,always_malicious,validation_f1,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
mendeley,mendeley,always_malicious,validation_fpr_limit,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
mendeley,mendeley,ddqn,default,0.007238090397338093,0.0025529104544516476,5,0.002640552525464401,0.0008504589115332187,5,0.0003289907706368611,0.0009696618263004651,5,0.0010703314728031544,0.002650727703746395,5,-0.000620003263175084,0.004432996608895646,5,-0.001785714285714285,0.005015918537567184,5,0.0005828555112696199,0.000940807330211138,5,-0.0011765708926592343,0.004625788665520653,5
mendeley,mendeley,ddqn,validation_f1,0.007238090397338093,0.0025529104544516476,5,0.002640552525464401,0.0008504589115332187,5,0.0005627301854680633,0.0008038346440498853,5,0.0013193306072955212,0.0016896861216206922,5,-0.0004568445097079321,0.00040626201983976916,5,-0.0022142857142857355,0.002791089137134212,5,0.0008787206022888184,0.001197403747005615,5,-0.001295933157131901,0.0015410388266408328,5
mendeley,mendeley,ddqn,validation_fpr_limit,0.007238090397338093,0.0025529104544516476,5,0.002640552525464401,0.0008504589115332187,5,0.05156665061885739,0.024373620632784632,5,0.01837655605042652,0.005744370239471422,5,0.035503344754446074,0.01721174055947476,5,-0.0008571428571428567,0.0008693329603312913,5,0.018180243805794482,0.008504014059346443,5,0.018143064199846532,0.009110009254111835,5
mendeley,mendeley,dqn,default,0.007075228660620514,0.0019771845341835215,5,0.00259587616250605,0.0006224022704736312,5,0.0008457137676196158,0.0017412971226517743,5,0.0012305647639236695,0.002464181423147019,5,0.0003263175069342372,0.005438353177516417,5,-0.0017857142857142904,0.004808182863512944,5,0.0010560158963242472,0.00146111858479574,5,-0.0006820700827010028,0.0049358121826356864,5
mendeley,mendeley,dqn,validation_f1,0.007075228660620514,0.0019771845341835215,5,0.00259587616250605,0.0006224022704736312,5,0.0008794407000320304,0.0008077419770284545,5,-0.0001703429604344553,0.003968991742899305,5,0.0022189590471528796,0.005789952226428855,5,0.0008214285714285508,0.007686457744179771,5,0.0006987652378620757,0.001282548894959624,5,0.001551709438144755,0.006639626888833208,5
