tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,specificity,balanced_accuracy,average_precision,roc_auc,predicted_malicious_fraction,n,source,target,model,seed,operating_point,threshold,fit_seconds,inference_seconds
1541,15,535,982,0.8210218027985682,0.9849548645937813,0.6473302570863546,0.781225139220366,0.009640102827763496,0.9903598971722365,0.8188450771292956,0.9646168173351569,0.9593162665455598,0.3244386592905955,3073,iscx,iscx,ddqn,11,validation_fpr_limit,1.3477914333343506,6.392200999893248,0.0051969001069664955
136,5464,824,5305,0.46389291499701596,0.4926176989506918,0.8655571871430903,0.6278849567996213,0.9757142857142858,0.024285714285714285,0.44492145071440226,0.3437463200439557,0.10934815164440716,0.9181515900758803,11729,iscx,mendeley,ddqn,11,default,5e-324,6.392200999893248,0.011962199816480279
122,5478,760,5369,0.46815585301389717,0.49497556928182906,0.8759993473649861,0.6325400565504241,0.9782142857142857,0.021785714285714287,0.4488925308253502,0.3437463200439557,0.10934815164440716,0.924801773382215,11729,iscx,mendeley,ddqn,11,validation_f1,-0.14680200815200806,6.392200999893248,0.011962199816480279
238,5362,1696,4433,0.39824366953704493,0.45257784583971417,0.7232827541197585,0.5567696558653604,0.9575,0.0425,0.38289137705987925,0.3437463200439557,0.10934815164440716,0.8351095575070339,11729,iscx,mendeley,ddqn,11,validation_fpr_limit,1.3477914333343506,6.392200999893248,0.011962199816480279
0,1556,0,1517,0.4936544093719492,0.4936544093719492,1.0,0.6610021786492375,1.0,0.0,0.5,0.4936544093719492,0.5,1.0,3073,iscx,iscx,always_malicious,23,default,0.5000000000000001,7.140007801353931e-05,2.950010821223259e-05
0,1556,0,1517,0.4936544093719492,0.4936544093719492,1.0,0.6610021786492375,1.0,0.0,0.5,0.4936544093719492,0.5,1.0,3073,iscx,iscx,always_malicious,23,validation_f1,1.0,7.140007801353931e-05,2.950010821223259e-05
1556,0,1517,0,0.5063455906280507,0.0,0.0,0.0,0.0,1.0,0.5,0.4936544093719492,0.5,0.0,3073,iscx,iscx,always_malicious,23,validation_fpr_limit,1.0000000000000002,7.140007801353931e-05,2.950010821223259e-05
0,5600,0,6129,0.5225509421093018,0.5225509421093018,1.0,0.6864150520775003,1.0,0.0,0.5,0.5225509421093018,0.5,1.0,11729,iscx,mendeley,always_malicious,23,default,0.5000000000000001,7.140007801353931e-05,0.00010730000212788582
0,5600,0,6129,0.5225509421093018,0.5225509421093018,1.0,0.6864150520775003,1.0,0.0,0.5,0.5225509421093018,0.5,1.0,11729,iscx,mendeley,always_malicious,23,validation_f1,1.0,7.140007801353931e-05,0.00010730000212788582
5600,0,6129,0,0.47744905789069825,0.0,0.0,0.0,0.0,1.0,0.5,0.5225509421093018,0.5,0.0,11729,iscx,mendeley,always_malicious,23,validation_fpr_limit,1.0000000000000002,7.140007801353931e-05,0.00010730000212788582
